Date,Bullish,Neutral,Bearish,BullBearSpread
1995-07-13,44.0000,18.0000,38.0000,6.0000
1995-07-20,43.0000,30.0000,27.0000,16.0000
1995-07-27,41.0000,26.0000,33.0000,8.0000
1995-08-03,38.0000,34.0000,28.0000,10.0000
1995-08-10,40.0000,30.0000,30.0000,10.0000
1995-08-17,36.0000,43.0000,21.0000,15.0000
1995-08-24,35.0000,28.0000,37.0000,-2.0000
1995-08-31,38.0000,42.0000,20.0000,18.0000
1995-09-07,37.0000,36.0000,27.0000,10.0000
1995-09-14,46.0000,32.0000,22.0000,24.0000
1995-09-21,46.0000,25.0000,29.0000,17.0000
1995-09-28,42.0000,27.0000,31.0000,11.0000
1995-10-05,39.0000,37.0000,24.0000,15.0000
1995-10-12,41.0000,30.0000,29.0000,12.0000
1995-10-19,47.0000,32.0000,21.0000,26.0000
1995-10-26,46.0000,33.0000,21.0000,25.0000
1995-11-02,47.0000,34.0000,19.0000,28.0000
1995-11-09,49.0000,35.0000,16.0000,33.0000
1995-11-16,46.0000,31.0000,23.0000,23.0000
1995-11-22,48.0000,18.0000,34.0000,14.0000
1995-11-30,51.0000,30.0000,19.0000,32.0000
1995-12-07,48.0000,28.0000,24.0000,24.0000
1995-12-14,51.0000,23.0000,26.0000,25.0000
1995-12-21,48.0000,28.0000,24.0000,24.0000
1995-12-28,46.0000,34.0000,20.0000,26.0000
1996-01-04,55.0000,18.0000,27.0000,28.0000
1996-01-18,42.0000,29.0000,29.0000,13.0000
1996-01-25,36.0000,40.0000,24.0000,12.0000
1996-02-01,54.0000,31.0000,15.0000,39.0000
1996-02-08,53.0000,31.0000,16.0000,37.0000
1996-02-15,54.0000,21.0000,25.0000,29.0000
1996-02-22,49.0000,22.0000,29.0000,20.0000
1996-02-29,45.0000,28.0000,27.0000,18.0000
1996-03-07,44.0000,28.0000,28.0000,16.0000
1996-03-14,36.0000,35.0000,29.0000,7.0000
1996-03-21,47.0000,31.0000,22.0000,25.0000
1996-03-28,45.0000,31.0000,24.0000,21.0000
1996-04-04,40.0000,43.0000,17.0000,23.0000
1996-04-11,40.0000,42.0000,18.0000,22.0000
1996-04-18,36.0000,38.0000,26.0000,10.0000
1996-04-25,28.0000,40.0000,32.0000,-4.0000
1996-05-02,48.0000,31.0000,21.0000,27.0000
1996-05-09,46.0000,38.0000,16.0000,30.0000
1996-05-16,37.0000,40.0000,23.0000,14.0000
1996-05-23,51.0000,35.0000,14.0000,37.0000
1996-05-30,61.0000,29.0000,10.0000,51.0000
1996-06-06,47.0000,28.0000,25.0000,22.0000
1996-06-13,49.0000,28.0000,23.0000,26.0000
1996-06-20,42.0000,32.0000,26.0000,16.0000
